timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,1_ASIC.mtx,16,9,2.371645e-03,2.135792e-03,5.348539e-04,2.2224,OK
20260106_162929,strong,1_ASIC.mtx,16,10,2.162976e-03,1.921391e-03,5.119324e-04,2.4368,OK
20260106_162929,strong,1_ASIC.mtx,32,1,3.069744e-03,2.912216e-03,5.306816e-04,1.7170,OK
20260106_162929,strong,1_ASIC.mtx,32,2,3.228216e-03,3.078465e-03,5.713129e-04,1.6327,OK
20260106_162929,strong,1_ASIC.mtx,32,3,2.901082e-03,2.718592e-03,5.290079e-04,1.8168,OK
20260106_162929,strong,1_ASIC.mtx,32,4,3.425179e-03,3.256607e-03,5.609560e-04,1.5388,OK
20260106_162929,strong,1_ASIC.mtx,32,5,3.064251e-03,2.882671e-03,4.758167e-04,1.7201,OK
20260106_162929,strong,1_ASIC.mtx,32,6,3.073440e-03,2.891083e-03,5.269575e-04,1.7149,OK
20260106_162929,strong,1_ASIC.mtx,32,7,2.954226e-03,2.794886e-03,5.804348e-04,1.7841,OK
20260106_162929,strong,1_ASIC.mtx,32,8,3.011236e-03,2.818174e-03,5.329418e-04,1.7504,OK
20260106_162929,strong,1_ASIC.mtx,32,9,3.103957e-03,2.913418e-03,4.988527e-04,1.6981,OK
20260106_162929,strong,1_ASIC.mtx,32,10,3.168969e-03,2.986517e-03,5.515385e-04,1.6632,OK
20260106_162929,strong,1_ASIC.mtx,64,1,4.618673e-03,4.506474e-03,8.829975e-04,1.1412,OK
20260106_162929,strong,1_ASIC.mtx,64,2,4.979486e-03,4.865150e-03,1.413980e-03,1.0585,OK
20260106_162929,strong,1_ASIC.mtx,64,3,4.877791e-03,4.769840e-03,7.813311e-04,1.0806,OK
20260106_162929,strong,1_ASIC.mtx,64,4,4.175191e-03,4.041805e-03,6.875563e-04,1.2624,OK
20260106_162929,strong,1_ASIC.mtx,64,5,4.832091e-03,4.738379e-03,1.335955e-03,1.0908,OK
20260106_162929,strong,1_ASIC.mtx,64,6,4.913177e-03,4.819374e-03,1.535420e-03,1.0728,OK
20260106_162929,strong,1_ASIC.mtx,64,7,4.673038e-03,4.590926e-03,1.253176e-03,1.1279,OK
20260106_162929,strong,1_ASIC.mtx,64,8,4.465785e-03,4.373345e-03,1.322546e-03,1.1802,OK
20260106_162929,strong,1_ASIC.mtx,64,9,3.964977e-03,3.882213e-03,5.150366e-04,1.3293,OK
20260106_162929,strong,1_ASIC.mtx,64,10,4.611230e-03,4.510045e-03,1.198354e-03,1.1430,OK
20260106_162929,strong,1_ASIC.mtx,128,1,4.664655e-03,4.614224e-03,9.671831e-04,1.1299,OK
20260106_162929,strong,1_ASIC.mtx,128,2,5.016627e-03,4.959636e-03,3.822708e-04,1.0507,OK
20260106_162929,strong,1_ASIC.mtx,128,3,4.945564e-03,4.902110e-03,5.062246e-04,1.0657,OK
20260106_162929,strong,1_ASIC.mtx,128,4,4.664326e-03,4.618654e-03,6.482553e-04,1.1300,OK
20260106_162929,strong,1_ASIC.mtx,128,5,4.510293e-03,4.453154e-03,7.433224e-04,1.1686,OK
20260106_162929,strong,1_ASIC.mtx,128,6,4.991989e-03,4.940844e-03,3.814602e-04,1.0558,OK
20260106_162929,strong,1_ASIC.mtx,128,7,5.027337e-03,4.980340e-03,5.404520e-04,1.0484,OK
20260106_162929,strong,1_ASIC.mtx,128,8,4.839935e-03,4.792838e-03,4.757881e-04,1.0890,OK
20260106_162929,strong,1_ASIC.mtx,128,9,4.800959e-03,4.753194e-03,6.418467e-04,1.0978,OK
20260106_162929,strong,1_ASIC.mtx,128,10,5.397372e-03,5.349474e-03,4.196739e-04,0.9765,OK
20260106_162929,strong,2_kkt.mtx,1,1,2.023378e-02,2.890267e-03,1.734322e-02,0.8036,OK
20260106_162929,strong,2_kkt.mtx,1,2,2.025216e-02,2.925754e-03,1.732607e-02,0.8029,OK
20260106_162929,strong,2_kkt.mtx,1,3,2.041956e-02,2.950993e-03,1.746822e-02,0.7963,OK
20260106_162929,strong,2_kkt.mtx,1,4,2.040618e-02,2.958336e-03,1.744753e-02,0.7969,OK
20260106_162929,strong,2_kkt.mtx,1,5,2.034924e-02,2.927399e-03,1.742151e-02,0.7991,OK
20260106_162929,strong,2_kkt.mtx,1,6,2.037436e-02,2.937427e-03,1.743662e-02,0.7981,OK
20260106_162929,strong,2_kkt.mtx,1,7,2.049499e-02,2.957644e-03,1.753708e-02,0.7934,OK
20260106_162929,strong,2_kkt.mtx,1,8,2.037926e-02,2.931914e-03,1.744704e-02,0.7979,OK
20260106_162929,strong,2_kkt.mtx,1,9,2.037377e-02,2.921972e-03,1.745149e-02,0.7981,OK
20260106_162929,strong,2_kkt.mtx,1,10,2.037026e-02,2.935672e-03,1.743429e-02,0.7983,OK
20260106_162929,strong,2_kkt.mtx,2,1,1.525217e-02,6.559262e-03,1.015407e-02,1.0661,OK
20260106_162929,strong,2_kkt.mtx,2,2,1.453137e-02,5.549893e-03,1.045312e-02,1.1190,OK
20260106_162929,strong,2_kkt.mtx,2,3,1.450611e-02,5.524688e-03,1.043455e-02,1.1210,OK
20260106_162929,strong,2_kkt.mtx,2,4,1.452065e-02,5.632839e-03,1.046751e-02,1.1198,OK
20260106_162929,strong,2_kkt.mtx,2,5,1.452644e-02,5.539489e-03,1.044371e-02,1.1194,OK
20260106_162929,strong,2_kkt.mtx,2,6,1.523763e-02,6.577134e-03,1.014690e-02,1.0671,OK
20260106_162929,strong,2_kkt.mtx,2,7,1.539933e-02,6.619263e-03,1.021137e-02,1.0559,OK
20260106_162929,strong,2_kkt.mtx,2,8,1.525971e-02,6.606474e-03,1.015061e-02,1.0656,OK
20260106_162929,strong,2_kkt.mtx,2,9,1.509196e-02,6.417694e-03,1.001865e-02,1.0774,OK
